LARP4	PABPC4	SUB1	DDX3X	RPS3	NCBP2	DDX55	METAP2	BCLAF1	UCHL5	ZNF622	TRA2A	ZNF800	GRWD1	PUM1	DDX24	FXR2	TIA1	TIAL1	U2AF1	U2AF2	KHSRP	AATF	DKC1	NOLC1	SMNDC1	AGO	DICER
ENSG00000179222	ENSG00000087191	ENSG00000105373	ENSG00000120705	ENSG00000087111	ENSG00000120705	ENSG00000179222	ENSG00000182199	ENSG00000135387	ENSG00000160200	ENSG00000111596	ENSG00000135521	ENSG00000108848	ENSG00000175220	ENSG00000108312	ENSG00000120705	ENSG00000108848	ENSG00000196305	ENSG00000108848	ENSG00000108349	ENSG00000131069	ENSG00000177646	ENSG00000108848	ENSG00000101361	ENSG00000135486	ENSG00000146826	ENSG00000126247	ENSG00000166313
ENSG00000070756	ENSG00000112640	ENSG00000130726	ENSG00000115307	ENSG00000111885	ENSG00000076382	ENSG00000089351	ENSG00000105373	ENSG00000130779	ENSG00000130779	ENSG00000214706	ENSG00000108848	ENSG00000177189	ENSG00000115307	ENSG00000090006	ENSG00000100429	ENSG00000108312	ENSG00000108848	ENSG00000134294	ENSG00000108848	ENSG00000177479	ENSG00000112237	ENSG00000101361	ENSG00000226950	ENSG00000101361	ENSG00000101361	ENSG00000203879	ENSG00000178971
ENSG00000250479	ENSG00000112514	ENSG00000075624	ENSG00000101365	ENSG00000149476	ENSG00000204569	ENSG00000075624	ENSG00000188157	ENSG00000111596	ENSG00000104129	ENSG00000135521	ENSG00000130175	ENSG00000082898	ENSG00000160200	ENSG00000092201	ENSG00000141644	ENSG00000087365	ENSG00000134294	ENSG00000198561	ENSG00000115053	ENSG00000108349	ENSG00000135829	ENSG00000226950	ENSG00000234741	ENSG00000105576	ENSG00000223705	ENSG00000006712	ENSG00000203879
ENSG00000112514	ENSG00000244038	ENSG00000112514	ENSG00000111885	ENSG00000113161	ENSG00000102606	ENSG00000125107	ENSG00000172534	ENSG00000136504	ENSG00000108848	ENSG00000108848	ENSG00000148337	ENSG00000087365	ENSG00000104957	ENSG00000186432	ENSG00000058600	ENSG00000080603	ENSG00000076382	ENSG00000065150	ENSG00000076382	ENSG00000171824	ENSG00000115053	ENSG00000234741	ENSG00000140988	ENSG00000226950	ENSG00000143224	ENSG00000008710	ENSG00000006712
ENSG00000226950	ENSG00000114942	ENSG00000234741	ENSG00000089006	ENSG00000134294	ENSG00000108465	ENSG00000112514	ENSG00000070756	ENSG00000198799	ENSG00000115053	ENSG00000072518	ENSG00000153187	ENSG00000148337	ENSG00000120705	ENSG00000182944	ENSG00000140983	ENSG00000130985	ENSG00000153187	ENSG00000044446	ENSG00000182934	ENSG00000196305	ENSG00000011426	ENSG00000203618	ENSG00000260260	ENSG00000234741	ENSG00000172046	ENSG00000160447	ENSG00000177595
ENSG00000114942	ENSG00000104529	ENSG00000101365	ENSG00000214078	ENSG00000214078	ENSG00000155508	ENSG00000101365	ENSG00000196547	ENSG00000198862	ENSG00000058600	ENSG00000112511	ENSG00000196642	ENSG00000087460	ENSG00000135521	ENSG00000065000	ENSG00000076382	ENSG00000090565	ENSG00000174231	ENSG00000204569	ENSG00000072778	ENSG00000112511	ENSG00000077380	ENSG00000132475	ENSG00000203875	ENSG00000175061	ENSG00000105576	ENSG00000108604	ENSG00000008710
ENSG00000104529	ENSG00000105202	ENSG00000175061	ENSG00000165119	ENSG00000166986	ENSG00000226950	ENSG00000166508	ENSG00000166986	ENSG00000108848	ENSG00000188739	ENSG00000058600	ENSG00000153827	ENSG00000153187	ENSG00000108848	ENSG00000167863	ENSG00000105576	ENSG00000168439	ENSG00000166986	ENSG00000157106	ENSG00000196547	ENSG00000076382	ENSG00000153201	ENSG00000175061	ENSG00000269893	ENSG00000260260	ENSG00000140829	ENSG00000141002	ENSG00000160447
ENSG00000122566	ENSG00000234741	ENSG00000196531	ENSG00000111641	ENSG00000167986	ENSG00000178028	ENSG00000148362	ENSG00000123143	ENSG00000072518	ENSG00000140983	ENSG00000188739	ENSG00000182944	ENSG00000166508	ENSG00000072518	ENSG00000108561	ENSG00000082898	ENSG00000198752	ENSG00000215301	ENSG00000122566	ENSG00000166508	ENSG00000121274	ENSG00000080345	ENSG00000260260	ENSG00000166012	ENSG00000255717	ENSG00000011304	ENSG00000063244	ENSG00000140983
ENSG00000063241	ENSG00000092199	ENSG00000140983	ENSG00000106397	ENSG00000106397	ENSG00000114942	ENSG00000123349	ENSG00000065000	ENSG00000141644	ENSG00000085872	ENSG00000140983	ENSG00000087365	ENSG00000134294	ENSG00000278259	ENSG00000160799	ENSG00000171163	ENSG00000115548	ENSG00000076108	ENSG00000175061	ENSG00000117569	ENSG00000163297	ENSG00000134910	ENSG00000255717	ENSG00000161960	ENSG00000266402	ENSG00000139645	ENSG00000130119	ENSG00000108604
ENSG00000179010	ENSG00000101365	ENSG00000229117	ENSG00000261067	ENSG00000144028	ENSG00000257218	ENSG00000174231	ENSG00000104529	ENSG00000151338	ENSG00000105671	ENSG00000163681	ENSG00000204560	ENSG00000186432	ENSG00000161526	ENSG00000092199	ENSG00000072778	ENSG00000153827	ENSG00000044446	ENSG00000126226	ENSG00000134294	ENSG00000136231	ENSG00000131747	ENSG00000266402	ENSG00000255717	ENSG00000203875	ENSG00000076108	ENSG00000132781	ENSG00000115234
ENSG00000196531	ENSG00000196531	ENSG00000105193	ENSG00000072778	ENSG00000261067	ENSG00000203618	ENSG00000131469	ENSG00000159069	ENSG00000278259	ENSG00000087365	ENSG00000076382	ENSG00000123136	ENSG00000182944	ENSG00000180900	ENSG00000125944	ENSG00000163297	ENSG00000005007	ENSG00000139613	ENSG00000026297	ENSG00000102606	ENSG00000166508	ENSG00000110321	ENSG00000203875	ENSG00000125691	ENSG00000269893	ENSG00000072310	ENSG00000113119	ENSG00000131748
ENSG00000115053	ENSG00000123349	ENSG00000170889	ENSG00000120437	ENSG00000071553	ENSG00000064961	ENSG00000229117	ENSG00000203618	ENSG00000115053	ENSG00000118900	ENSG00000198917	ENSG00000118985	ENSG00000104885	ENSG00000141002	ENSG00000179010	ENSG00000085872	ENSG00000167986	ENSG00000157106	ENSG00000136450	ENSG00000134759	ENSG00000170515	ENSG00000070756	ENSG00000114867	ENSG00000174444	ENSG00000166012	ENSG00000188976	ENSG00000183765	ENSG00000063244
ENSG00000147123	ENSG00000172809	ENSG00000075415	ENSG00000182196	ENSG00000111775	ENSG00000165792	ENSG00000233927	ENSG00000188486	ENSG00000177189	ENSG00000085788	ENSG00000167004	ENSG00000125944	ENSG00000204560	ENSG00000105576	ENSG00000114391	ENSG00000128731	ENSG00000182944	ENSG00000108654	ENSG00000138095	ENSG00000132793	ENSG00000118515	ENSG00000023287	ENSG00000167747	ENSG00000148303	ENSG00000114867	ENSG00000005961	ENSG00000111596	ENSG00000141499
ENSG00000105404	ENSG00000229117	ENSG00000203875	ENSG00000071553	ENSG00000064601	ENSG00000245532	ENSG00000170889	ENSG00000179950	ENSG00000134294	ENSG00000166508	ENSG00000072310	ENSG00000137154	ENSG00000167863	ENSG00000103197	ENSG00000153113	ENSG00000140400	ENSG00000127663	ENSG00000122566	ENSG00000089053	ENSG00000213983	ENSG00000113119	ENSG00000115548	ENSG00000169045	ENSG00000265681	ENSG00000161960	ENSG00000161638	ENSG00000166197	ENSG00000113108
ENSG00000167526	ENSG00000105193	ENSG00000105372	ENSG00000169679	ENSG00000112514	ENSG00000136933	ENSG00000114650	ENSG00000105193	ENSG00000163681	ENSG00000076382	ENSG00000166887	ENSG00000125447	ENSG00000143793	ENSG00000108312	ENSG00000181222	ENSG00000076201	ENSG00000092199	ENSG00000175061	ENSG00000166669	ENSG00000168488	ENSG00000143258	ENSG00000107929	ENSG00000104904	ENSG00000243207	ENSG00000140988	ENSG00000178999	ENSG00000138434	ENSG00000169727
ENSG00000229117	ENSG00000143947	ENSG00000104231	ENSG00000174109	ENSG00000107984	ENSG00000167526	ENSG00000076382	ENSG00000140988	ENSG00000081307	ENSG00000072310	ENSG00000117569	ENSG00000167110	ENSG00000198563	ENSG00000072778	ENSG00000130816	ENSG00000130726	ENSG00000115053	ENSG00000196531	ENSG00000118523	ENSG00000110321	ENSG00000166140	ENSG00000137807	ENSG00000243207	ENSG00000136270	ENSG00000167747	ENSG00000226950	ENSG00000198720	ENSG00000196547
ENSG00000164587	ENSG00000177954	ENSG00000264324	ENSG00000182307	ENSG00000125991	ENSG00000171863	ENSG00000062822	ENSG00000150991	ENSG00000077380	ENSG00000100726	ENSG00000108312	ENSG00000092199	ENSG00000108654	ENSG00000136231	ENSG00000148843	ENSG00000094631	ENSG00000131626	ENSG00000026297	ENSG00000169045	ENSG00000156869	ENSG00000198561	ENSG00000108651	ENSG00000110955	ENSG00000105576	ENSG00000243207	ENSG00000175197	ENSG00000117713	ENSG00000166508
ENSG00000105193	ENSG00000171863	ENSG00000278615	ENSG00000117399	ENSG00000167996	ENSG00000170889	ENSG00000213145	ENSG00000172053	ENSG00000122126	ENSG00000136271	ENSG00000198276	ENSG00000130066	ENSG00000104529	ENSG00000166508	ENSG00000176171	ENSG00000077454	ENSG00000153113	ENSG00000170889	ENSG00000115947	ENSG00000089693	ENSG00000012817	ENSG00000241837	ENSG00000174444	ENSG00000110955	ENSG00000167526	ENSG00000123136	ENSG00000104853	ENSG00000062822
ENSG00000143947	ENSG00000170889	ENSG00000126457	ENSG00000068120	ENSG00000164032	ENSG00000266402	ENSG00000125148	ENSG00000204394	ENSG00000131467	ENSG00000023228	ENSG00000215301	ENSG00000164609	ENSG00000164032	ENSG00000149782	ENSG00000166165	ENSG00000196547	ENSG00000114867	ENSG00000168758	ENSG00000089157	ENSG00000245532	ENSG00000174231	ENSG00000103995	ENSG00000148303	ENSG00000156976	ENSG00000110955	ENSG00000234741	ENSG00000185246	ENSG00000167658
ENSG00000171863	ENSG00000266402	ENSG00000132341	ENSG00000111775	ENSG00000132475	ENSG00000281398	ENSG00000264324	ENSG00000075624	ENSG00000022840	ENSG00000132153	ENSG00000143442	ENSG00000168259	ENSG00000092199	ENSG00000139613	ENSG00000123136	ENSG00000158864	ENSG00000130816	ENSG00000255717	ENSG00000144136	ENSG00000106133	ENSG00000117569	ENSG00000173588	ENSG00000265681	ENSG00000111642	ENSG00000148187	ENSG00000203618	ENSG00000160957	ENSG00000196924
ENSG00000170889	ENSG00000130725	ENSG00000161016	ENSG00000112514	ENSG00000204525	ENSG00000113119	ENSG00000115541	ENSG00000143418	ENSG00000087365	ENSG00000186432	ENSG00000070814	ENSG00000115216	ENSG00000138668	ENSG00000118900	ENSG00000143575	ENSG00000114650	ENSG00000080345	ENSG00000136450	ENSG00000115392	ENSG00000255717	ENSG00000162923	ENSG00000110172	ENSG00000166012		ENSG00000142541	ENSG00000169045	ENSG00000136878	ENSG00000160602
ENSG00000099624	ENSG00000139641	ENSG00000131469	ENSG00000088986	ENSG00000122566	ENSG00000182087	ENSG00000078618	ENSG00000084207	ENSG00000139613	ENSG00000130702	ENSG00000077232	ENSG00000160633	ENSG00000125944	ENSG00000116584	ENSG00000167526	ENSG00000072310	ENSG00000148843	ENSG00000138095	ENSG00000234741	ENSG00000166012	ENSG00000196914	ENSG00000169714	ENSG00000105576		ENSG00000131469	ENSG00000175061	ENSG00000142733	ENSG00000125733
ENSG00000173915	ENSG00000099624	ENSG00000159377	ENSG00000114942	ENSG00000179010	ENSG00000160285	ENSG00000148341	ENSG00000063177	ENSG00000084774	ENSG00000158864	ENSG00000076108	ENSG00000204574	ENSG00000089009	ENSG00000163050	ENSG00000229117	ENSG00000167986	ENSG00000171316	ENSG00000127481	ENSG00000196262	ENSG00000101972	ENSG00000089280	ENSG00000184432	ENSG00000102144		ENSG00000174444	ENSG00000008130	ENSG00000182872	ENSG00000125753
ENSG00000204463	ENSG00000162585	ENSG00000265681	ENSG00000104131	ENSG00000172590	ENSG00000196497	ENSG00000105393	ENSG00000109475	ENSG00000183765	ENSG00000204351	ENSG00000014216	ENSG00000099783	ENSG00000137154	ENSG00000119772	ENSG00000143549	ENSG00000135723	ENSG00000167548	ENSG00000089053	ENSG00000137955	ENSG00000127481	ENSG00000166986	ENSG00000108654			ENSG00000148303	ENSG00000106133	ENSG00000113810	ENSG00000161204
ENSG00000030582	ENSG00000110717	ENSG00000103335	ENSG00000100664	ENSG00000115053	ENSG00000119559	ENSG00000130811	ENSG00000196924	ENSG00000178921	ENSG00000153827	ENSG00000134815	ENSG00000092010	ENSG00000150459	ENSG00000145191	ENSG00000162191	ENSG00000185359	ENSG00000197102	ENSG00000166669	ENSG00000131051	ENSG00000204463	ENSG00000149480	ENSG00000146425			ENSG00000142937	ENSG00000137193	ENSG00000140474	ENSG00000071894
ENSG00000173457	ENSG00000173457	ENSG00000147403	ENSG00000125991	ENSG00000105404	ENSG00000164327	ENSG00000167792	ENSG00000104904	ENSG00000164080	ENSG00000167721	ENSG00000149782	ENSG00000177600	ENSG00000111602	ENSG00000256269	ENSG00000144028	ENSG00000127603	ENSG00000196924	ENSG00000077782	ENSG00000102317	ENSG00000254166	ENSG00000124067	ENSG00000234741			ENSG00000265681	ENSG00000146083	ENSG00000131584	ENSG00000185359
ENSG00000147403	ENSG00000147403		ENSG00000103876	ENSG00000119318	ENSG00000167747	ENSG00000172889	ENSG00000247077	ENSG00000130511	ENSG00000177479	ENSG00000100241	ENSG00000008952	ENSG00000108312	ENSG00000153187	ENSG00000196924	ENSG00000166986	ENSG00000116584	ENSG00000135486	ENSG00000138074	ENSG00000108654	ENSG00000134294	ENSG00000068745			ENSG00000147403	ENSG00000168758	ENSG00000129351	ENSG00000184216
ENSG00000142541	ENSG00000142541		ENSG00000103254	ENSG00000167526	ENSG00000169045	ENSG00000168003	ENSG00000104960	ENSG00000167721	ENSG00000198793	ENSG00000044090	ENSG00000273559	ENSG00000153113	ENSG00000166197	ENSG00000177084	ENSG00000162231	ENSG00000186716	ENSG00000169045	ENSG00000096384	ENSG00000169045	ENSG00000080603	ENSG00000183605			ENSG00000156976	ENSG00000260260	ENSG00000126012	ENSG00000141959
ENSG00000063177	ENSG00000063177		ENSG00000173486	ENSG00000105193	ENSG00000183808		ENSG00000167526	ENSG00000130939	ENSG00000100241	ENSG00000182944	ENSG00000121851	ENSG00000130816	ENSG00000188338	ENSG00000182196	ENSG00000177595	ENSG00000115677	ENSG00000044574	ENSG00000197958	ENSG00000111641	ENSG00000177302	ENSG00000255717				ENSG00000203875	ENSG00000258366	ENSG00000187147
ENSG00000233927	ENSG00000109475		ENSG00000171298	ENSG00000143947	ENSG00000234741		ENSG00000233927	ENSG00000125753	ENSG00000044090	ENSG00000103549	ENSG00000265681	ENSG00000173575	ENSG00000076382	ENSG00000170004	ENSG00000125637	ENSG00000115216	ENSG00000099381	ENSG00000156508	ENSG00000092094	ENSG00000168096	ENSG00000203875				ENSG00000269893	ENSG00000142186	ENSG00000173898
ENSG00000214736	ENSG00000241343		ENSG00000203618	ENSG00000170889	ENSG00000133112		ENSG00000149823	ENSG00000215301	ENSG00000094631	ENSG00000108651	ENSG00000143549	ENSG00000260914	ENSG00000072310	ENSG00000174243	ENSG00000270647	ENSG00000137497	ENSG00000144136	ENSG00000185813	ENSG00000144136	ENSG00000102606	ENSG00000136450				ENSG00000114867	ENSG00000272333	ENSG00000161202
ENSG00000198258	ENSG00000233927		ENSG00000148834	ENSG00000184640	ENSG00000162384		ENSG00000099624	ENSG00000110321	ENSG00000140521	ENSG00000135164	ENSG00000111642	ENSG00000134107	ENSG00000167721	ENSG00000167996	ENSG00000105397	ENSG00000174231	ENSG00000161547	ENSG00000147403	ENSG00000120438	ENSG00000196497	ENSG00000236144				ENSG00000169710	ENSG00000140521	ENSG00000196642
ENSG00000264324	ENSG00000161981		ENSG00000204592	ENSG00000169682	ENSG00000178999		ENSG00000170889	ENSG00000127603	ENSG00000103549	ENSG00000005961	ENSG00000196235	ENSG00000176171	ENSG00000198276	ENSG00000204220	ENSG00000079432	ENSG00000175216	ENSG00000103091	ENSG00000165119	ENSG00000177084	ENSG00000076108	ENSG00000138095				ENSG00000167548	ENSG00000175467	ENSG00000149930
ENSG00000062582	ENSG00000214736		ENSG00000064961	ENSG00000173113	ENSG00000156990		ENSG00000180879	ENSG00000023228	ENSG00000213983	ENSG00000139613	ENSG00000105576	ENSG00000130724	ENSG00000162923	ENSG00000067225	ENSG00000132153	ENSG00000178952	ENSG00000184009	ENSG00000141959	ENSG00000060971	ENSG00000134759	ENSG00000101972				ENSG00000181222	ENSG00000130726	ENSG00000188157
ENSG00000013306	ENSG00000163463		ENSG00000137309	ENSG00000150991	ENSG00000117395		ENSG00000071564	ENSG00000111371	ENSG00000116539	ENSG00000105576	ENSG00000221978	ENSG00000169714	ENSG00000161204	ENSG00000123349	ENSG00000112787	ENSG00000127603	ENSG00000234741	ENSG00000163682	ENSG00000178971	ENSG00000165219	ENSG00000157106				ENSG00000075624	ENSG00000214655	ENSG00000184916
ENSG00000186010	ENSG00000172366		ENSG00000136718	ENSG00000137076	ENSG00000102144		ENSG00000221983	ENSG00000198752	ENSG00000124228	ENSG00000258890	ENSG00000169710	ENSG00000156508	ENSG00000146830	ENSG00000265241	ENSG00000130702	ENSG00000167110	ENSG00000080824	ENSG00000115657	ENSG00000154832	ENSG00000044090	ENSG00000243554				ENSG00000166669	ENSG00000004777	ENSG00000179134
ENSG00000123349	ENSG00000174547		ENSG00000234616	ENSG00000070669			ENSG00000135486	ENSG00000204560	ENSG00000139613	ENSG00000130816	ENSG00000134318	ENSG00000135821	ENSG00000105063	ENSG00000142937	ENSG00000008710	ENSG00000138095	ENSG00000213619	ENSG00000171557	ENSG00000204560	ENSG00000185359	ENSG00000120699				ENSG00000179218	ENSG00000204469	ENSG00000131584
ENSG00000131469	ENSG00000103202		ENSG00000102316	ENSG00000099624			ENSG00000167965	ENSG00000077232	ENSG00000204560	ENSG00000165458	ENSG00000087087	ENSG00000164104	ENSG00000183258	ENSG00000221983	ENSG00000196642	ENSG00000187514	ENSG00000156873	ENSG00000090060	ENSG00000198830	ENSG00000160957	ENSG00000092199				ENSG00000099622	ENSG00000092201	ENSG00000168488
ENSG00000156482	ENSG00000078618		ENSG00000165792	ENSG00000135446			ENSG00000163931	ENSG00000115548	ENSG00000130816	ENSG00000160949	ENSG00000132485	ENSG00000140990	ENSG00000141524	ENSG00000137076	ENSG00000113810	ENSG00000143549	ENSG00000196262	ENSG00000116001	ENSG00000088247	ENSG00000258890	ENSG00000169045				ENSG00000168209	ENSG00000110719	ENSG00000165684
ENSG00000182774	ENSG00000104904		ENSG00000179010	ENSG00000169714			ENSG00000133112	ENSG00000186432	ENSG00000100023	ENSG00000003756		ENSG00000172809	ENSG00000134759	ENSG00000105401	ENSG00000141524	ENSG00000115355	ENSG00000100023	ENSG00000100201	ENSG00000168906	ENSG00000170037	ENSG00000103160				ENSG00000108654	ENSG00000215305	ENSG00000130726
ENSG00000167553	ENSG00000167526		ENSG00000182154	ENSG00000104529			ENSG00000188976	ENSG00000008710	ENSG00000125755	ENSG00000161204		ENSG00000130066	ENSG00000165219	ENSG00000140416	ENSG00000014216	ENSG00000099783	ENSG00000129084	ENSG00000135486	ENSG00000100906	ENSG00000196547	ENSG00000168906				ENSG00000173812	ENSG00000076924	ENSG00000132510
ENSG00000161016	ENSG00000125691		ENSG00000172590	ENSG00000135821			ENSG00000197102	ENSG00000204351	ENSG00000110200	ENSG00000116584		ENSG00000265972	ENSG00000132793	ENSG00000111642	ENSG00000132793	ENSG00000175467	ENSG00000100911	ENSG00000102144	ENSG00000102317	ENSG00000126562	ENSG00000188811				ENSG00000178719	ENSG00000170037	ENSG00000090006
